state,total,18_24,25_39,40_54,55_64,65_up,male,female,population,households_w_children,pct_pop_insecure,pct_insecure_w_child,sal_less_25k,sal_25k_35k,adult_obesity_rate,pc_healthcare_spend,snap_number,snap_pct,yoy_inflation
NY,1389668.00,108545.00,333135.00,426286.00,336956.00,184746.00,714387.00,675281.00,19746227.00,598003.00,0.07,0.43,220616.00,172092.00,30.10,14007.00,2876474.00,0.15,0.05
NC,881895.00,75196.00,286292.00,274110.00,129439.00,116857.00,318268.00,563625.00,9943964.00,451142.00,0.09,0.51,355784.00,170157.00,34.10,8917.00,1486498.00,0.15,0.07
ND,48813.00,5795.00,13499.00,17944.00,8351.00,3224.00,28357.00,20457.00,739482.00,20580.00,0.07,0.42,12126.00,5969.00,35.40,11301.00,45945.00,0.06,0.07
OH,856581.00,24941.00,270117.00,269208.00,151487.00,140826.00,276401.00,580179.00,11594163.00,356918.00,0.07,0.42,270646.00,212349.00,38.10,10478.00,1487242.00,0.13,0.07
OK,378595.00,16347.00,154043.00,96412.00,79009.00,32783.00,131949.00,246647.00,3878051.00,182659.00,0.10,0.48,134708.00,95579.00,40.00,9444.00,671825.00,0.17,0.07
OR,284560.00,25480.00,97858.00,85959.00,51403.00,23861.00,138531.00,146029.00,3970239.00,102133.00,0.07,0.36,99327.00,43646.00,30.90,10071.00,743363.00,0.19,0.06
PA,1062477.00,141503.00,302343.00,275897.00,219655.00,123078.00,473733.00,588744.00,12787209.00,466365.00,0.08,0.44,253845.00,109527.00,33.40,11603.00,1836059.00,0.14,0.05
RI,82472.00,1064.00,31330.00,22901.00,13251.00,13924.00,28427.00,54045.00,1055173.00,32753.00,0.08,0.40,10162.00,13738.00,30.80,11694.00,140610.00,0.13,0.06
SC,415699.00,1691.00,122642.00,165199.00,61500.00,64667.00,179800.00,235899.00,4832482.00,167728.00,0.09,0.40,124342.00,66517.00,35.00,8766.00,624314.00,0.13,0.07
SD,70669.00,12396.00,14336.00,21058.00,16049.00,6830.00,35762.00,34907.00,853175.00,31488.00,0.08,0.45,12389.00,17577.00,36.80,12495.00,71078.00,0.08,0.07
TN,653157.00,17117.00,218565.00,242251.00,107765.00,67459.00,307459.00,345698.00,6549352.00,246811.00,0.10,0.38,215583.00,81850.00,38.90,9336.00,786502.00,0.12,0.06
TX,3222660.00,218539.00,1256575.00,947241.00,485079.00,315225.00,1724587.00,1498073.00,26956958.00,1731783.00,0.12,0.54,1051729.00,329440.00,35.50,8406.00,3453436.00,0.13,0.07
UT,235174.00,36408.00,95170.00,52078.00,20502.00,31017.00,139455.00,95719.00,2942902.00,115658.00,0.08,0.49,68147.00,12893.00,31.10,7522.00,155974.00,0.05,0.08
VT,47031.00,11630.00,17126.00,9228.00,5370.00,3679.00,26964.00,20068.00,626562.00,27780.00,0.08,0.59,16279.00,7823.00,26.80,12756.00,70475.00,0.11,0.06
VA,662577.00,102027.00,198901.00,161105.00,145284.00,55259.00,294343.00,368234.00,8326289.00,333505.00,0.08,0.50,177136.00,96161.00,35.20,9195.00,825660.00,0.10,0.07
WA,594510.00,36279.00,209295.00,121313.00,148801.00,78822.00,255993.00,338516.00,7061530.00,287533.00,0.08,0.48,164740.00,56207.00,31.70,9265.00,906150.00,0.13,0.06
WV,184341.00,29357.00,44188.00,49277.00,17686.00,43836.00,82167.00,102174.00,1850326.00,78453.00,0.10,0.43,53195.00,32865.00,41.00,12769.00,323586.00,0.17,0.07
WI,453225.00,71995.00,155298.00,76030.00,75919.00,73984.00,214204.00,239020.00,5757564.00,254184.00,0.08,0.56,53653.00,135257.00,37.70,9982.00,695036.00,0.12,0.07
WY,51261.00,2532.00,23207.00,15373.00,2221.00,7927.00,24096.00,27165.00,584153.00,30781.00,0.09,0.60,7857.00,13624.00,34.30,10989.00,28615.00,0.05,0.08
